訂單編號,產品編號,供應商編號,序號,數量,總價
QEV-37451-860,R-M-1,S005,1,2,596
QEV-37451-860,E-M-0.5,S003,2,5,1235
FAA-43335-268,A-L-1,S004,1,1,388
KAC-83089-793,E-M-1,S005,1,2,824
KAC-83089-793,R-L-2.5,S005,2,2,1648
CVP-18956-553,L-D-1,S001,1,3,1164
IPP-31994-879,E-D-0.5,S005,1,3,654
SNZ-65340-705,L-L-0.2,S005,1,1,142
EZT-46571-659,R-M-0.5,S002,1,3,537
NWQ-70061-912,R-M-0.5,S002,1,1,179
BKK-47233-845,A-D-1,S003,1,4,1192
VQR-01002-970,E-L-2.5,S005,1,5,5120
SZW-48378-399,R-M-1,S005,1,5,1490
ITA-87418-783,R-D-2.5,S001,1,2,1234
GNZ-46006-527,L-D-0.2,S002,1,3,348
FYQ-78248-319,R-M-2.5,S002,1,5,3430
VAU-44387-624,A-M-0.2,S005,1,6,606
RDW-33155-159,A-L-1,S004,1,6,2328
TDZ-59011-211,R-D-2.5,S001,1,4,2468
IDU-25793-399,A-M-0.2,S005,1,5,505
IDU-25793-399,E-D-0.2,S004,2,4,436
NUO-20013-488,A-D-0.2,S002,1,6,534
UQU-65630-479,R-M-2.5,S002,1,4,2744
FEO-11834-332,A-D-0.2,S002,1,4,356
TKY-71558-096,A-M-1,S002,1,1,337
OXY-65322-253,E-M-0.2,S002,1,3,369
EVP-43500-491,A-M-0.5,S003,1,4,808
WAG-26945-689,A-M-0.2,S005,1,5,505
CHE-78995-767,A-D-0.5,S004,1,3,537
RYZ-14633-602,A-D-1,S003,1,4,1192
WOQ-36015-429,L-M-0.2,S002,1,5,650
WOQ-36015-429,A-D-0.5,S004,2,6,1074
WOQ-36015-429,L-M-0.5,S004,3,6,1566
SCT-60553-454,L-L-0.2,S005,1,5,710
GFK-52063-244,L-L-0.5,S003,1,6,1710
AMM-79521-378,A-D-0.5,S004,1,6,1074
QUQ-90580-772,L-M-0.2,S002,1,2,260
LGD-24408-274,L-L-0.5,S003,1,3,855
HCT-95608-959,R-M-2.5,S002,1,5,3430
OFX-99147-470,R-M-1,S005,1,6,1788
LUO-37559-016,L-M-1,S004,1,3,1308
XWC-20610-167,E-D-0.2,S004,1,2,218
GPU-79113-136,R-D-0.2,S003,1,3,240
ULR-52653-960,L-L-2.5,S005,1,2,2186
HPI-42308-142,E-M-0.5,S003,1,2,494
XHI-30227-581,L-D-2.5,S005,1,6,5358
DJH-05202-380,E-M-2.5,S004,1,2,1896
VMW-26889-781,A-L-0.2,S003,1,2,232
DBU-81099-586,A-D-2.5,S004,1,4,2744
PQA-54820-810,A-L-1,S004,1,3,1164
