產品編號,產品敘述,單價,庫存,供應商編號
A-L-0.2,Ara - L - 0.2,116,125,S003
A-L-0.5,Ara - L - 0.5,233,43,S004
A-L-1,Ara - L - 1.0,388,88,S004
A-L-2.5,Ara - L - 2.5,893,156,S003
A-M-0.2,Ara - M - 0.2,101,193,S005
A-M-0.5,Ara - M - 0.5,202,168,S003
A-M-1,Ara - M - 1.0,337,78,S002
A-M-2.5,Ara - M - 2.5,776,19,S005
A-D-0.2,Ara - D - 0.2,89,97,S002
A-D-0.5,Ara - D - 0.5,179,109,S004
A-D-1,Ara - D - 1.0,298,118,S003
A-D-2.5,Ara - D - 2.5,686,87,S004
R-L-0.2,Rob - L - 0.2,107,125,S001
R-L-0.5,Rob - L - 0.5,215,182,S003
R-L-1,Rob - L - 1.0,358,35,S005
R-L-2.5,Rob - L - 2.5,824,176,S005
R-M-0.2,Rob - M - 0.2,89,142,S003
R-M-0.5,Rob - M - 0.5,179,174,S002
R-M-1,Rob - M - 1.0,298,174,S005
R-M-2.5,Rob - M - 2.5,686,33,S002
R-D-0.2,Rob - D - 0.2,80,11,S003
R-D-0.5,Rob - D - 0.5,161,16,S005
R-D-1,Rob - D - 1.0,268,80,S005
R-D-2.5,Rob - D - 2.5,617,14,S001
L-L-0.2,Lib - L - 0.2,142,77,S005
L-L-0.5,Lib - L - 0.5,285,119,S003
L-L-1,Lib - L - 1.0,475,86,S002
L-L-2.5,Lib - L - 2.5,1093,181,S005
L-M-0.2,Lib - M - 0.2,130,26,S002
L-M-0.5,Lib - M - 0.5,261,162,S004
L-M-1,Lib - M - 1.0,436,33,S004
L-M-2.5,Lib - M - 2.5,1003,199,S002
L-D-0.2,Lib - D - 0.2,116,136,S002
L-D-0.5,Lib - D - 0.5,233,168,S004
L-D-1,Lib - D - 1.0,388,132,S001
L-D-2.5,Lib - D - 2.5,893,96,S005
E-L-0.2,Exc - L - 0.2,133,162,S003
E-L-0.5,Exc - L - 0.5,267,94,S001
E-L-1,Exc - L - 1.0,445,117,S003
E-L-2.5,Exc - L - 2.5,1024,55,S005
E-M-0.2,Exc - M - 0.2,123,12,S002
E-M-0.5,Exc - M - 0.5,247,28,S003
E-M-1,Exc - M - 1.0,412,130,S005
E-M-2.5,Exc - M - 2.5,948,147,S004
E-D-0.2,Exc - D - 0.2,109,16,S004
E-D-0.5,Exc - D - 0.5,218,181,S005
E-D-1,Exc - D - 1.0,364,133,S001
E-D-2.5,Exc - D - 2.5,838,181,S002
